funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
six_hump_camel,Six-Hump Camel,1,2139,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.08984198549633368, -0.7126564535698329]",-1.031628453489852,4.5380166335841294e-07,120,4840,"[-0.41489107056820007, -0.41489107056820007, -0.8523654575391516, -0.8848270854292455, -0.9534606702924562, -0.9534606702924562, -0.9534606702924562, -0.9534606702924562, -0.9534606702924562, -1.0047415332922094, -1.0047415332922094, -1.0047415332922094, -1.0174698956192445, -1.0174698956192445, -1.0276531223542558, -1.0311097893296781, -1.0311097893296781, -1.0311097893296781, -1.0311097893296781, -1.0311097893296781, -1.0311097893296781, -1.0311097893296781, -1.031330925136511, -1.031330925136511, -1.0313523358037915, -1.0313523358037915, -1.0313523358037915, -1.031545469746473, -1.031545469746473, -1.031545469746473, -1.031545469746473, -1.031545469746473, -1.0316112587373476, -1.0316112587373476, -1.0316112587373476, -1.0316226330660916, -1.0316233885913901, -1.0316233885913901, -1.0316265355275824, -1.0316265355275824, -1.0316276363349193, -1.0316280720601312, -1.0316280720601312, -1.031628334035335, -1.031628334035335, -1.031628334035335, -1.0316283775729038, -1.0316284231965727, -1.0316284231965727, -1.0316284231965727, -1.0316284306552965, -1.031628442672668, -1.031628442672668, -1.031628442672668, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520349663, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284520737358, -1.0316284528152275, -1.0316284528152275, -1.0316284528416644, -1.0316284528416644, -1.0316284530846713, -1.0316284533262192, -1.031628453406757, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.031628453419746, -1.0316284534623148, -1.0316284534623148, -1.0316284534841818, -1.0316284534841818, -1.0316284534841818, -1.0316284534841818, -1.0316284534841818, -1.0316284534841818, -1.0316284534841818, -1.0316284534872637, -1.0316284534872637, -1.0316284534872637, -1.0316284534892866, -1.0316284534892866, -1.0316284534894629, -1.0316284534894629, -1.0316284534897089, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897329, -1.0316284534897586, -1.0316284534897586, -1.0316284534898446, -1.0316284534898517, -1.0316284534898517, -1.0316284534898517, -1.0316284534898517, -1.031628453489852]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,2,2140,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.08984203779032235, -0.7126563916965959]",-1.0316284534898736,3.935153513279307e-07,120,4840,"[-0.6731783287202313, -0.6731783287202313, -0.8422646689977131, -0.8422646689977131, -0.8422646689977131, -0.9840663884671901, -1.0081400375069276, -1.0081400375069276, -1.0081400375069276, -1.0081400375069276, -1.0124862251314934, -1.0124862251314934, -1.013650182218287, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.0293740358254964, -1.030089650848407, -1.0312162430469678, -1.0313619779346044, -1.0313619779346044, -1.0313619779346044, -1.0315048406886727, -1.0315048406886727, -1.0315672499913948, -1.0315672499913948, -1.0315672499913948, -1.0315672499913948, -1.0316002651452152, -1.0316002651452152, -1.0316002651452152, -1.0316002651452152, -1.0316129174295834, -1.0316244789314937, -1.0316244789314937, -1.0316244789314937, -1.0316244789314937, -1.0316257220747032, -1.0316257220747032, -1.0316257220747032, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.031628393435823, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284418603023, -1.0316284504544722, -1.0316284509178373, -1.0316284509178373, -1.0316284509178373, -1.0316284509178373, -1.0316284509178373, -1.0316284523785202, -1.0316284523785202, -1.0316284523785202, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284531221402, -1.0316284532017597, -1.0316284532017597, -1.0316284532017597, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.031628453466196, -1.0316284534667435, -1.0316284534667435, -1.0316284534667435, -1.0316284534667435, -1.0316284534667435, -1.0316284534750597, -1.0316284534832028, -1.0316284534832028, -1.0316284534846067, -1.0316284534858853, -1.031628453485984, -1.0316284534879903, -1.0316284534888736, -1.031628453489635, -1.031628453489635, -1.031628453489635, -1.031628453489635, -1.031628453489635, -1.031628453489635, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898665, -1.0316284534898736]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,3,2141,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.0898420131371931, -0.7126564250534251]",-1.0316284534898734,4.252563933110587e-07,120,4840,"[-0.889565181456132, -0.889565181456132, -0.889565181456132, -0.9291492587881593, -0.9291492587881593, -0.997926645354772, -0.997926645354772, -0.997926645354772, -0.997926645354772, -0.997926645354772, -0.997926645354772, -1.0288539026806942, -1.0288539026806942, -1.0288871926606509, -1.0288871926606509, -1.0288871926606509, -1.0311749160399541, -1.0314888667867004, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031598485172889, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.031624095270367, -1.0316244513979784, -1.0316244513979784, -1.0316244513979784, -1.0316244513979784, -1.0316257061869984, -1.0316257061869984, -1.0316281641820986, -1.0316281641820986, -1.031628259909418, -1.031628259909418, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284486020655, -1.0316284508664533, -1.0316284508664533, -1.0316284510924538, -1.031628452026911, -1.031628452026911, -1.031628452026911, -1.0316284529818207, -1.0316284529818207, -1.0316284529818207, -1.0316284533154692, -1.031628453361693, -1.031628453361693, -1.031628453361693, -1.031628453466884, -1.031628453466884, -1.031628453466884, -1.0316284534753022, -1.0316284534753022, -1.0316284534753022, -1.0316284534766988, -1.031628453481263, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.031628453489626, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898557, -1.0316284534898568, -1.0316284534898568, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734, -1.0316284534898734]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,4,2142,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984199331092975, 0.7126563800052783]",-1.0316284534898719,1.4365937902025308,120,4840,"[-0.25584323290643807, -0.7407983152951187, -0.7407983152951187, -0.9883831296186613, -0.9883831296186613, -0.9883831296186613, -0.9883831296186613, -0.9883831296186613, -0.9883831296186613, -0.9883831296186613, -1.001398203016446, -1.001398203016446, -1.001398203016446, -1.0300485016562302, -1.0300485016562302, -1.0300485016562302, -1.0300485016562302, -1.0309583088087126, -1.0314154950489731, -1.0314154950489731, -1.0314154950489731, -1.0314154950489731, -1.0314702485909566, -1.0314702485909566, -1.0314702485909566, -1.0314702485909566, -1.0314702485909566, -1.0314702485909566, -1.0314702485909566, -1.0315857648672342, -1.0316175250832713, -1.0316175250832713, -1.0316175250832713, -1.0316175250832713, -1.0316175250832713, -1.0316175250832713, -1.0316180155149175, -1.0316180155149175, -1.031621162413291, -1.031621162413291, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275333025122, -1.0316275425017558, -1.0316275425017558, -1.0316275425017558, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.0316283078884259, -1.031628392547207, -1.031628392547207, -1.031628392547207, -1.031628392547207, -1.0316284413090073, -1.0316284413090073, -1.0316284413090073, -1.0316284413090073, -1.0316284413090073, -1.0316284413090073, -1.031628451566446, -1.031628451566446, -1.031628451566446, -1.031628451566446, -1.031628451566446, -1.0316284524223835, -1.0316284530314648, -1.0316284530314648, -1.0316284530314648, -1.0316284530314648, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534652085, -1.0316284534756315, -1.0316284534785136, -1.0316284534785136, -1.0316284534842823, -1.0316284534842823, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534876279, -1.0316284534891549, -1.031628453489402, -1.031628453489402, -1.031628453489402, -1.0316284534896665, -1.0316284534896665, -1.0316284534896665, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.031628453489835, -1.0316284534898719, -1.0316284534898719, -1.0316284534898719, -1.0316284534898719]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,5,2143,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984162388987181, 0.7126565107703023]",-1.0316284534891498,1.4365938737348631,120,4840,"[-0.40193554745546767, -0.8306526257281398, -0.8306526257281398, -0.8306526257281398, -0.9760026957086565, -0.9760026957086565, -0.9760026957086565, -0.9760026957086565, -0.9760026957086565, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0168602829647824, -1.0263687126394696, -1.0263687126394696, -1.0263687126394696, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0276212289985405, -1.0307978555074775, -1.0307978555074775, -1.0310939056018456, -1.0310939056018456, -1.031602556218673, -1.031602556218673, -1.031602556218673, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316234678338616, -1.0316262036079757, -1.0316262036079757, -1.0316262036079757, -1.0316262036079757, -1.0316262036079757, -1.0316262181445912, -1.0316262181445912, -1.0316262181445912, -1.0316278713761782, -1.0316282589533623, -1.0316282589533623, -1.0316282589533623, -1.0316282589533623, -1.0316282589533623, -1.0316282611697734, -1.0316282611697734, -1.031628335043623, -1.0316284449971342, -1.0316284449971342, -1.0316284452813853, -1.0316284452813853, -1.0316284489640464, -1.031628452889203, -1.031628452889203, -1.031628452889203, -1.031628452889203, -1.031628452889203, -1.031628452889203, -1.0316284533542939, -1.0316284533542939, -1.0316284533542939, -1.0316284533542939, -1.0316284534274751, -1.0316284534274751, -1.0316284534274751, -1.0316284534274751, -1.0316284534422342, -1.0316284534422342, -1.0316284534422342, -1.0316284534422342, -1.0316284534445006, -1.0316284534445006, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.031628453445249, -1.0316284534459075, -1.0316284534468656, -1.0316284534468656, -1.0316284534468656, -1.0316284534468656, -1.0316284534668023, -1.0316284534820062, -1.0316284534865772, -1.0316284534873774, -1.031628453488876, -1.031628453488876, -1.031628453488876, -1.031628453488876, -1.031628453488876, -1.0316284534891498]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,6,2144,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.0898420233286093, 0.7126564105840695]",-1.0316284534898765,1.436593824295694,120,4840,"[1.5703325722055401, 1.5703325722055401, -0.8857775977786926, -0.8857775977786926, -0.8857775977786926, -0.8857775977786926, -0.8857775977786926, -0.9174824932160957, -1.026801100298478, -1.026801100298478, -1.026801100298478, -1.026801100298478, -1.026801100298478, -1.026801100298478, -1.0279836923310195, -1.0293963498719532, -1.0293963498719532, -1.030566141208373, -1.030566141208373, -1.0314268838485854, -1.0314268838485854, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031609725356433, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.031610377399511, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283078858013, -1.0316283362351817, -1.0316283362351817, -1.0316283362351817, -1.0316284085789216, -1.0316284085789216, -1.0316284085789216, -1.0316284085789216, -1.0316284085789216, -1.0316284439637669, -1.0316284439637669, -1.0316284439637669, -1.031628447253131, -1.031628447253131, -1.031628447253131, -1.031628447253131, -1.031628447253131, -1.031628449963332, -1.031628449963332, -1.031628449963332, -1.031628449963332, -1.0316284529434125, -1.0316284529434125, -1.0316284529434125, -1.0316284529434125, -1.0316284529434125, -1.0316284531706743, -1.031628453339411, -1.0316284534496019, -1.0316284534496019, -1.0316284534738345, -1.0316284534738345, -1.0316284534738345, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.0316284534887223, -1.03162845348904, -1.03162845348904, -1.03162845348904, -1.0316284534897648, -1.0316284534897648, -1.0316284534898488, -1.0316284534898488, -1.0316284534898488, -1.0316284534898694, -1.0316284534898694, -1.0316284534898694, -1.0316284534898694, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898754, -1.0316284534898765, -1.0316284534898765]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,7,2145,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984202087883933, 0.7126564053121544]",-1.0316284534898772,1.4365938187587701,120,4840,"[-0.9363603445382707, -0.9363603445382707, -0.9363603445382707, -0.9363603445382707, -0.9363603445382707, -0.9696370485682742, -0.9696370485682742, -0.9696370485682742, -0.9696370485682742, -0.9696370485682742, -0.9696370485682742, -1.0228407568039353, -1.0228407568039353, -1.0228407568039353, -1.0228407568039353, -1.0286201804178248, -1.0286201804178248, -1.030803192614813, -1.030803192614813, -1.030803192614813, -1.030803192614813, -1.030803192614813, -1.0312743000112976, -1.0315894620603558, -1.0315894620603558, -1.0315894620603558, -1.0315894620603558, -1.0315894620603558, -1.0315894620603558, -1.031590629932699, -1.031590629932699, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.031623587411078, -1.0316244181509149, -1.0316244181509149, -1.0316279303892113, -1.0316279303892113, -1.0316279303892113, -1.0316279303892113, -1.0316282274802513, -1.0316282274802513, -1.0316283915168094, -1.0316283915168094, -1.0316283915168094, -1.0316283915168094, -1.031628407552133, -1.031628407552133, -1.0316284300255034, -1.0316284351232312, -1.0316284351232312, -1.0316284351232312, -1.0316284351232312, -1.0316284351232312, -1.0316284351232312, -1.0316284396803688, -1.0316284396803688, -1.0316284396803688, -1.0316284396803688, -1.0316284514833487, -1.0316284514833487, -1.0316284514833487, -1.0316284514833487, -1.0316284514833487, -1.0316284514833487, -1.0316284514833487, -1.0316284531894317, -1.0316284531894317, -1.0316284531894317, -1.0316284531894317, -1.0316284531894317, -1.0316284533363778, -1.0316284533363778, -1.0316284533363778, -1.0316284534023115, -1.0316284534023115, -1.0316284534638243, -1.0316284534638243, -1.031628453469347, -1.031628453469347, -1.031628453469347, -1.0316284534870277, -1.0316284534870277, -1.031628453489669, -1.031628453489669, -1.031628453489669, -1.031628453489669, -1.031628453489669, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489803, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.031628453489874, -1.031628453489874, -1.0316284534898745, -1.0316284534898745, -1.0316284534898756, -1.0316284534898763, -1.0316284534898763, -1.0316284534898763, -1.0316284534898763, -1.0316284534898768, -1.031628453489877, -1.0316284534898772]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,8,2146,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984200498836649, 0.7126564087026805]",-1.0316284534898768,1.4365938201351474,120,4840,"[-0.6010361311782754, -0.6010361311782754, -0.9857010237903395, -0.9857010237903395, -0.9857010237903395, -0.9857010237903395, -0.9857010237903395, -0.9857010237903395, -0.9857010237903395, -0.9943506415256581, -0.9943506415256581, -0.9943506415256581, -0.9943506415256581, -1.014922183735817, -1.0164466508853776, -1.0164466508853776, -1.0234659391082361, -1.0234659391082361, -1.0234659391082361, -1.0304668496901697, -1.0304668496901697, -1.0307250696988723, -1.0307250696988723, -1.0312005978028749, -1.0312005978028749, -1.0312005978028749, -1.0312005978028749, -1.0314103064066522, -1.0314103064066522, -1.0315775986152318, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.0316276413024037, -1.031627856321526, -1.0316282702262334, -1.0316282702262334, -1.0316282702262334, -1.0316282702262334, -1.0316282702262334, -1.031628300999443, -1.031628300999443, -1.031628300999443, -1.0316283982844292, -1.0316283982844292, -1.0316283982844292, -1.0316283982844292, -1.0316283982844292, -1.0316284189482778, -1.0316284331744252, -1.0316284331744252, -1.0316284331744252, -1.0316284331744252, -1.0316284331744252, -1.0316284438400278, -1.0316284470948387, -1.0316284470948387, -1.0316284470948387, -1.0316284477179125, -1.0316284477179125, -1.0316284477179125, -1.0316284501420485, -1.0316284501420485, -1.0316284509601155, -1.0316284509601155, -1.0316284518529932, -1.0316284518529932, -1.0316284520326597, -1.031628452618158, -1.031628452618158, -1.031628452618158, -1.031628452618158, -1.031628452936861, -1.0316284534720324, -1.031628453485816, -1.031628453485816, -1.031628453485816, -1.031628453485816, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534883378, -1.0316284534898532, -1.0316284534898532, -1.0316284534898532, -1.0316284534898532, -1.0316284534898563, -1.031628453489858, -1.031628453489858, -1.031628453489858, -1.031628453489858, -1.0316284534898696, -1.0316284534898696, -1.0316284534898696, -1.0316284534898696, -1.0316284534898696, -1.0316284534898696, -1.0316284534898748, -1.0316284534898748, -1.0316284534898754, -1.0316284534898765, -1.0316284534898768, -1.0316284534898768, -1.0316284534898768, -1.0316284534898768, -1.0316284534898768]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,9,2147,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.0898419978570593, -0.7126564144867296]",-1.0316284534898752,4.144922691844306e-07,120,4840,"[-0.4019160698763034, -0.4019160698763034, -0.7321757500336858, -0.8008621371825311, -1.0066731117663328, -1.0066731117663328, -1.0066731117663328, -1.0240044020475698, -1.0240044020475698, -1.0240044020475698, -1.030648709036442, -1.030648709036442, -1.030648709036442, -1.0310377555013754, -1.0310377555013754, -1.0310377555013754, -1.0310377555013754, -1.0310377555013754, -1.031111502628583, -1.031111502628583, -1.0312445485622603, -1.0312445485622603, -1.0312445485622603, -1.0313096617823283, -1.0315963032414426, -1.0315963032414426, -1.0315963032414426, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316129068233488, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316278197816058, -1.0316281290373508, -1.0316281290373508, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284028239715, -1.0316284093921986, -1.0316284093921986, -1.0316284093921986, -1.0316284489954428, -1.0316284513980123, -1.0316284513980123, -1.0316284513980123, -1.0316284513980123, -1.0316284513980123, -1.031628452274519, -1.031628452274519, -1.031628452274519, -1.0316284531813225, -1.0316284531813225, -1.0316284531813225, -1.0316284531813225, -1.0316284532321918, -1.0316284532321918, -1.0316284532321918, -1.0316284532321918, -1.0316284532321918, -1.0316284532321918, -1.031628453361459, -1.031628453361459, -1.031628453361459, -1.0316284534719737, -1.0316284534719737, -1.031628453477541, -1.031628453477541, -1.031628453477541, -1.031628453477541, -1.031628453477541, -1.0316284534814961, -1.031628453482916, -1.031628453482916, -1.0316284534862112, -1.0316284534862112, -1.0316284534862112, -1.0316284534880205, -1.0316284534880205, -1.0316284534896112, -1.0316284534896112, -1.0316284534896112, -1.0316284534896112, -1.0316284534896112, -1.031628453489758, -1.031628453489758, -1.031628453489758, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898663, -1.0316284534898739, -1.0316284534898739, -1.0316284534898739, -1.0316284534898739, -1.0316284534898752, -1.0316284534898752, -1.0316284534898752, -1.0316284534898752, -1.0316284534898752]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
six_hump_camel,Six-Hump Camel,10,2187,pso,PSO,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.0898414707010581, -0.7126563355801308]",-1.0316284534887297,6.267147629451233e-07,120,4840,"[0.28560509337566176, 0.28560509337566176, -0.5272056460399384, -0.5272056460399384, -0.5272056460399384, -0.9448889780434244, -0.9448889780434244, -0.9741673479613118, -0.9770138147432879, -0.9770138147432879, -0.9770138147432879, -0.9770138147432879, -1.0010751267814275, -1.0010751267814275, -1.012422634655508, -1.012422634655508, -1.012422634655508, -1.0153642683644377, -1.0153642683644377, -1.0153642683644377, -1.0153642683644377, -1.0153642683644377, -1.0153642683644377, -1.0153642683644377, -1.0232181596485126, -1.0275753181372551, -1.0275753181372551, -1.0275753181372551, -1.029246513553663, -1.029246513553663, -1.029246513553663, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0306493147793565, -1.0314518086991886, -1.0314518086991886, -1.0314518086991886, -1.0314518086991886, -1.0315233123340088, -1.0315233123340088, -1.0315233123340088, -1.0315233123340088, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.03161847427159, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.031626871966206, -1.0316279687506833, -1.0316279687506833, -1.0316279687506833, -1.0316279687506833, -1.0316279687506833, -1.0316279687506833, -1.0316279687506833, -1.0316280966416336, -1.0316280966416336, -1.0316280966416336, -1.0316280966416336, -1.0316280966416336, -1.0316281043253228, -1.0316284226235417, -1.0316284226235417, -1.0316284488306835, -1.0316284508756772, -1.0316284508756772, -1.0316284508756772, -1.0316284508756772, -1.0316284508756772, -1.0316284527000987, -1.0316284527000987, -1.0316284527000987, -1.0316284527000987, -1.0316284527000987, -1.0316284527000987, -1.0316284527000987, -1.0316284531334419, -1.0316284531334419, -1.0316284531334419, -1.0316284533936428, -1.0316284533936428, -1.0316284533936428, -1.0316284533936428, -1.0316284533936428, -1.0316284534786275, -1.0316284534786275, -1.0316284534786275, -1.0316284534786275, -1.0316284534786275, -1.0316284534822369, -1.0316284534838196, -1.0316284534838196, -1.0316284534838196, -1.031628453484081, -1.031628453484081, -1.0316284534887297, -1.0316284534887297, -1.0316284534887297]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
